,latlon,pop,lat,lon
0,"(37.788477999999998, -122.510828)",2418,37.788478,-122.510828
1,"(37.781448222222217, -122.510828)",474,37.78144822222222,-122.510828
2,"(37.774418444444443, -122.510828)",1432,37.77441844444444,-122.510828
3,"(37.767388666666662, -122.510828)",22,37.76738866666666,-122.510828
4,"(37.760358888888888, -122.510828)",1152,37.76035888888889,-122.510828
5,"(37.753329111111107, -122.510828)",1096,37.75332911111111,-122.510828
6,"(37.746299333333333, -122.510828)",39,37.74629933333333,-122.510828
7,"(37.739269555555552, -122.510828)",1636,37.73926955555555,-122.510828
8,"(37.732239777777778, -122.510828)",1222,37.73223977777778,-122.510828
9,"(37.725209999999997, -122.510828)",972,37.72521,-122.510828
10,"(37.788477999999998, -122.49649277777777)",762,37.788478,-122.49649277777777
11,"(37.781448222222217, -122.49649277777777)",1581,37.78144822222222,-122.49649277777777
12,"(37.774418444444443, -122.49649277777777)",906,37.77441844444444,-122.49649277777777
13,"(37.767388666666662, -122.49649277777777)",762,37.76738866666666,-122.49649277777777
14,"(37.760358888888888, -122.49649277777777)",92,37.76035888888889,-122.49649277777777
15,"(37.753329111111107, -122.49649277777777)",1078,37.75332911111111,-122.49649277777777
16,"(37.746299333333333, -122.49649277777777)",1427,37.74629933333333,-122.49649277777777
17,"(37.739269555555552, -122.49649277777777)",979,37.73926955555555,-122.49649277777777
18,"(37.732239777777778, -122.49649277777777)",882,37.73223977777778,-122.49649277777777
19,"(37.725209999999997, -122.49649277777777)",81,37.72521,-122.49649277777777
20,"(37.788477999999998, -122.48215755555556)",717,37.788478,-122.48215755555556
21,"(37.781448222222217, -122.48215755555556)",1685,37.78144822222222,-122.48215755555556
22,"(37.774418444444443, -122.48215755555556)",1202,37.77441844444444,-122.48215755555556
23,"(37.767388666666662, -122.48215755555556)",8,37.76738866666666,-122.48215755555556
24,"(37.760358888888888, -122.48215755555556)",1373,37.76035888888889,-122.48215755555556
25,"(37.753329111111107, -122.48215755555556)",1167,37.75332911111111,-122.48215755555556
