latlon,pop

"(37.753329111111107, -122.41048144444444)",1858

"(37.746299333333333, -122.41048144444444)",911

"(37.739269555555552, -122.41048144444444)",866

"(37.732239777777778, -122.41048144444444)",1095

"(37.725209999999997, -122.41048144444444)",7

"(37.788477999999998, -122.39614622222223)",22480

"(37.781448222222217, -122.39614622222223)",5

"(37.774418444444443, -122.39614622222223)",12310

"(37.767388666666662, -122.39614622222223)",5069

"(37.760358888888888, -122.39614622222223)",1445

"(37.753329111111107, -122.39614622222223)",3304

"(37.746299333333333, -122.39614622222223)",8379

"(37.739269555555552, -122.39614622222223)",1920

"(37.732239777777778, -122.39614622222223)",1206

"(37.725209999999997, -122.39614622222223)",3

"(37.788477999999998, -122.381811)",26184

"(37.781448222222217, -122.381811)",58

"(37.774418444444443, -122.381811)",9189

"(37.767388666666662, -122.381811)",7561

"(37.760358888888888, -122.381811)",51

"(37.753329111111107, -122.381811)",6722

"(37.746299333333333, -122.381811)",4370

"(37.739269555555552, -122.381811)",2562

"(37.732239777777778, -122.381811)",24

"(37.725209999999997, -122.381811)",1614

"(37.813000000000002, -122.518)",2522

"(37.801111111111112, -122.518)",2950

"(37.789222222222222, -122.518)",3033

"(37.777333333333338, -122.518)",39

"(37.765444444444448, -122.518)",1535

"(37.753555555555558, -122.518)",1249

"(37.741666666666667, -122.518)",1454

"(37.729777777777784, -122.518)",60

"(37.717888888888893, -122.518)",1552

"(37.802999999999997, -122.508)",2524

"(37.793111111111109, -122.508)",2530

"(37.783222222222221, -122.508)",2448

"(37.773333333333333, -122.508)",1567

"(37.763444444444445, -122.508)",1236

"(37.75355555555555, -122.508)",1013

"(37.743666666666662, -122.508)",1

"(37.733777777777775, -122.508)",1178

"(37.723888888888887, -122.508)",1853

"(37.713999999999999, -122.508)",3

"(37.802999999999997, -122.49299999999999)",216

"(37.793111111111109, -122.49299999999999)",434

"(37.783222222222221, -122.49299999999999)",47

"(37.773333333333333, -122.49299999999999)",1587

"(37.763444444444445, -122.49299999999999)",695

"(37.75355555555555, -122.49299999999999)",925

"(37.743666666666662, -122.49299999999999)",1176

"(37.733777777777775, -122.49299999999999)",1153

"(37.723888888888887, -122.49299999999999)",81

"(37.713999999999999, -122.49299999999999)",2194

"(37.802999999999997, -122.47799999999999)",1888

"(37.793111111111109, -122.47799999999999)",863

"(37.783222222222221, -122.47799999999999)",28

"(37.773333333333333, -122.47799999999999)",869

"(37.763444444444445, -122.47799999999999)",1348

"(37.75355555555555, -122.47799999999999)",1137

"(37.743666666666662, -122.47799999999999)",1062

"(37.733777777777775, -122.47799999999999)",2

"(37.723888888888887, -122.47799999999999)",5648

"(37.713999999999999, -122.47799999999999)",3101

"(37.802999999999997, -122.46299999999999)",3591

"(37.793111111111109, -122.46299999999999)",2586

"(37.783222222222221, -122.46299999999999)",5479

"(37.773333333333333, -122.46299999999999)",2760

"(37.763444444444445, -122.46299999999999)",29644

"(37.75355555555555, -122.46299999999999)",598

"(37.743666666666662, -122.46299999999999)",255

"(37.733777777777775, -122.46299999999999)",186

"(37.723888888888887, -122.46299999999999)",735

"(37.713999999999999, -122.46299999999999)",858

"(37.802999999999997, -122.44799999999999)",3231

"(37.793111111111109, -122.44799999999999)",1286

"(37.783222222222221, -122.44799999999999)",23

"(37.773333333333333, -122.44799999999999)",2403

"(37.763444444444445, -122.44799999999999)",1316

"(37.75355555555555, -122.44799999999999)",967

"(37.743666666666662, -122.44799999999999)",329

"(37.733777777777775, -122.44799999999999)",1

"(37.723888888888887, -122.44799999999999)",576

"(37.713999999999999, -122.44799999999999)",1280

"(37.802999999999997, -122.43300000000001)",2176

"(37.793111111111109, -122.43300000000001)",2258

"(37.783222222222221, -122.43300000000001)",4627

"(37.773333333333333, -122.43300000000001)",1359

"(37.763444444444445, -122.43300000000001)",1500

"(37.75355555555555, -122.43300000000001)",1246

"(37.743666666666662, -122.43300000000001)",2

"(37.733777777777775, -122.43300000000001)",783

"(37.723888888888887, -122.43300000000001)",3

"(37.713999999999999, -122.43300000000001)",1459

"(37.802999999999997, -122.41800000000001)",3672

"(37.793111111111109, -122.41800000000001)",48

"(37.783222222222221, -122.41800000000001)",9241

"(37.773333333333333, -122.41800000000001)",80

"(37.763444444444445, -122.41800000000001)",3412

"(37.75355555555555, -122.41800000000001)",68

"(37.743666666666662, -122.41800000000001)",1508

"(37.733777777777775, -122.41800000000001)",560

"(37.723888888888887, -122.41800000000001)",1021

"(37.713999999999999, -122.41800000000001)",1163

"(37.802999999999997, -122.40300000000001)",7623

"(37.793111111111109, -122.40300000000001)",66

"(37.783222222222221, -122.40300000000001)",14531

"(37.773333333333333, -122.40300000000001)",7038

"(37.763444444444445, -122.40300000000001)",3459

"(37.75355555555555, -122.40300000000001)",1355

"(37.743666666666662, -122.40300000000001)",4894

"(37.733777777777775, -122.40300000000001)",904

"(37.723888888888887, -122.40300000000001)",4

"(37.713999999999999, -122.40300000000001)",718

"(37.802999999999997, -122.38800000000001)",28318

"(37.793111111111109, -122.38800000000001)",29150

"(37.783222222222221, -122.38800000000001)",29302

"(37.773333333333333, -122.38800000000001)",8135

"(37.763444444444445, -122.38800000000001)",4108

"(37.75355555555555, -122.38800000000001)",3

"(37.743666666666662, -122.38800000000001)",3078

"(37.733777777777775, -122.38800000000001)",1107

"(37.723888888888887, -122.38800000000001)",2208

"(37.713999999999999, -122.38800000000001)",1525

"(37.802999999999997, -122.373)",25120

"(37.793111111111109, -122.373)",25820

"(37.783222222222221, -122.373)",27619

"(37.773333333333333, -122.373)",3

"(37.763444444444445, -122.373)",6727

"(37.75355555555555, -122.373)",4140

"(37.743666666666662, -122.373)",2947

"(37.733777777777775, -122.373)",1599

"(37.723888888888887, -122.373)",1377

"(37.713999999999999, -122.373)",1816

"(37.75537985600267, -122.43558883666992)",573

"(37.759705836153955, -122.4242377281189)",3104

"(37.78943798147498, -122.44279861450195)",1160

"(37.75347973770911, -122.43146896362305)",1074

"(37.754972691904946, -122.43885040283203)",610

"(37.75768707689704, -122.43112564086914)",592

"(37.75470124792826, -122.43593215942383)",742

"(37.756857692106465, -122.43593215942383)",1006

"(37.757264845830164, -122.42889404296875)",559

"(37.7475245866027, -122.4312973022461)",750

"(37.75415835698726, -122.43061065673828)",1147

"(37.75402263362956, -122.43215560913086)",1076

"(37.75347973770911, -122.42855072021484)",1113

"(37.754429802955705, -122.43181228637695)",962

"(37.75673705347827, -122.43112564086914)",509

"(37.75551557687063, -122.42940902709961)",745

"(37.75280111220671, -122.43043899536133)",1065

"(37.75402263362956, -122.43061065673828)",1130

"(37.76582963431183, -122.43249893188477)",1952

"(37.754972691904946, -122.43181228637695)",703

"(37.75619417747575, -122.42975234985352)",805

"(37.75470124792826, -122.43867874145508)",8

"(37.75470124792826, -122.43593215942383)",742

"(37.755108413519835, -122.43644714355469)",807

"(37.754429802955705, -122.4345588684082)",538

